Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Restaurant - L'Armor Argoat;Restaurant;Cuisine traditionnelle;;4 - 6 rue du Maréchal  Leclerc;;44420;;;LA TURBALLE;44211;47.34809;-2.51161;;;02 49 52 63 64;;;https://www.armorargoat.fr/;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;47.34809, -2.51161;Loire-Atlantique
Restaurant - La Bonne Source;Restaurant;Cuisine traditionnelle;;43 route de la Roche-Bernard;;44410;;;HERBIGNAC;44072;47.45784;-2.31361;;;02 40 22 27 90;;contact@restaurantlabonnesource.com;http://www.restaurantlabonnesource.com;;;;;Le petit futé;;;oui;;;Service en terrasse,WiFi;40;;10;;;;Anglais;oui;;45;;"01/01/2026||19/07/2026||||||12:00||13:30||||||12:00||13:30||||||||||||||12:00||13:30||||||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30 ; 20/07/2026||16/08/2026||||||12:00||13:30||19:00||20:30||12:00||13:30||||||12:00||13:30||||||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30 ; 17/08/2026||31/12/2026||||||12:00||13:30||||||12:00||13:30||||||||||||||12:00||13:30||||||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30";;;;Menu adulte du jour (midi en semaine)||26,90||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.45784, -2.31361;Loire-Atlantique
RESTAURANT ASIATIQUE ETOILE BRIANT;Restaurant;Cuisine du Monde;;ZI route de St Nazaire;rue du Général Patton;44110;;;CHATEAUBRIANT;44036;47.7077059;-1.386466;;;02 28 04 57 92;;;;;;;;;;;;;;Plats à emporter,WiFi;200;;;;;;Chinois,Français;;;;;||||de 12h00 à 14h30 et de 19h00 à 22h30||ouvert 7 jours/7||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Menu adulte du jour (midi en semaine)||13,50|||| ; Menu adulte soir et week-end||18,80|||| ; Menu enfant||14,00||||";Chèques Vacances;47.7077059, -1.386466;Loire-Atlantique
Restaurant Au Bistrot Ronsard;Restaurant;Restaurant gastronomique - cuisine raffinée;;8 Rue du Champ de Foire;;72800;;;LE LUDE;72176;47.6439339;0.1569106;;;02 43 94 83 33;;didier.bourgine@wanadoo.fr;www.bistrotronsard.fr;;"Tripadvisor||https://www.tripadvisor.com/6785304 ; Google+||https://business.google.com/reviews/l/18074301904962049496";;;;;;oui;Terrase en partie couverte;Maitres Restaurateurs;Service en terrasse,WiFi;50;3;30;0;;;Anglais,Français;oui;10;30;oui;"01/01/2026||29/01/2026||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00|||||||||||||||||||||||||||| ; 31/01/2026||09/02/2026||||Fermeture pour congés|||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 10/02/2026||31/12/2026||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||||||||||||||||||";BOURGINE||02.43.94.83.33||;;;Menu adulte du jour (midi en semaine)||25,00||31,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Virement;47.6439339, 0.1569106;Sarthe
Restaurant Au P'tit Coût;Restaurant;Cuisine traditionnelle;;5 rue Louis Monnier;Montfaucon-Montigné;49230;;;SEVREMOINE;49301;47.0974415;-1.1257725;;;02 41 62 13 80;;;;;Facebook||https://www.facebook.com/auptit.cout;;;;;;oui;;;Climatisation,Séminaire,Service en terrasse,WiFi;;;;;;;;oui;;;;;;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.0974415, -1.1257725;Maine-et-Loire
Restaurant Auberge de la Gée;Restaurant;Cuisine traditionnelle;;2 rue de l'Eglise;;72210;;;MAIGNE;72177;47.9375181;-0.0540538;"Route (nationale/départ.)||Route de Sablé||3 ; Autoroute||Louplande||10 ; Gare SNCF||Le Mans et Sablé-sur-Sarthe à 30km||15";06 21 83 41 89;;;;;;Facebook||https://www.facebook.com/p/Auberge-de-la-G%C3%A9e-61578118490190/;;;;;;;;;;60;1;;;;;;;;;;01/01/2026||31/12/2026||sur résa le soir du mercredi au samedi||soirs et dimanche||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||||||||;;;;Menu adulte du jour (midi en semaine)||12,90||15,90||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.9375181, -0.0540538;Sarthe
Restaurant Auberge des Brigands;Restaurant;Cuisine traditionnelle;;15 place de l'Eglise;;44430;;;LA BOISSIERE-DU-DORE;44016;47.2325827;-1.2200437;;;09 84 09 42 05;;airedejeufaireplay@gmail.com;https://www.facebook.com/Auberge-Les-Brigands-111126680695267;;;;;;;;oui;;;Banquet,Service en terrasse;80;3;25;2;1;;Français;oui;15;55;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.2325827, -1.2200437;Loire-Atlantique
Restaurant Auberge du Val de Loire;Restaurant;Cuisine traditionnelle;;220 levée de la Divatte;La Chapelle-Basse-Mer;44450;;;DIVATTE-SUR-LOIRE;44029;47.2882397;-1.3754674;"Aéroport/aérodrome||Nantes Atlantique||30 ; Gare SNCF||Nantes gare sud||20";;02 40 06 34 60;;aubergeduvaldeloire@yahoo.fr;http://www.aubergeduvaldeloire.fr;;Facebook||https://www.facebook.com/pages/Auberge-du-Val-de-Loire/571256122910012;;;Guide du Routard Pays de la Loire,Le petit futé,Les Tables de Nantes;;;non;;Accueil Vélo,La Loire à vélo,Maitres Restaurateurs,Vignobles et découvertes;Bon cadeau,Climatisation,Plats à emporter,WiFi;80;3;0;0;3;EV6-La Loire à Vélo;Anglais,Français;oui;;45;oui;;;non;||||||02 40 06 34 60||aubergeduvaldeloire@yahoo.fr;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.2882397, -1.3754674;Loire-Atlantique
Restaurant Auberge Jean d'la Queue;Restaurant;Cuisine traditionnelle;;7 impasse de Tournebride;;44690;;;LA HAIE-FOUASSIERE;44070;47.17922;-1.40766;;;02 40 54 80 28;;resagroupe@sflsarl.fr;http://restaurantjeandlaqueue.com;;;;;Bottin Gourmand,Michelin;;;;;Maitres Restaurateurs;Banquet,Climatisation,Plats à emporter,Service en terrasse,WiFi;190;4;70;;4;;Anglais,Français;oui;;40;oui;;;oui;||www.restaurantjeandlaqueue.com||||02 40 54 80 28||sarljeandlaqueue@orange.fr;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.17922, -1.40766;Loire-Atlantique
Restaurant Auberge Reine de Sicile;Restaurant;Restaurant gastronomique - cuisine raffinée;;71 rue Waldeck Rousseau;;49400;;;SAUMUR;49328;47.264327;-0.070611;Transport en commun||||;;02 41 67 30 48;;reinedesicile@wanadoo.fr;http://www.restaurant-reine-sicile-saumur.com;;"Facebook||https://www.facebook.com/Auberge-Reine-de-Sicile-1945691365703558/ ; Google+||https://maps.google.com/?cid=2087360300437388020 ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d1142540-Reviews-Auberge_reine_de_sicile-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;Le petit futé;;;oui;;;Chaise haute / Réhausseur,Service en terrasse,WiFi;30;1;15;;;;Anglais,Français;oui;;30;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Restaurant Auberge Reine de Sicile||||;;;;;47.264327, -0.070611;Maine-et-Loire
Restaurant Aux Gourmets Sympa;Restaurant;Cuisine traditionnelle;;20 rue de la Mairie;;72210;;;ROEZE-SUR-SARTHE;72253;47.8949171;0.06778811;"Route (nationale/départ.)||D23 entre Le Mans et La Suze||1 ; Autoroute||||12 ; Gare SNCF||||5 ; Halte fluviale||Bord de rivière, un ponton d'accostage.||0,5";;02 43 77 35 21;;auxgourmets.sympa@gmail.com;;;Facebook||https://www.facebook.com/profile.php?id=61552256078020;;;;;;oui;;;Banquet,Plats à emporter,Traiteur;95;2;0;0;2;;Anglais,Français;oui;6;80;non;"01/01/2026||07/08/2026||Burgers frites le vendredi sur place ou à emporter. Week-ends uniquement sur réservation (18 personnes). ||Soirs et week-end sauf résa (18 personnes minimum). ||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||19:00||21:00|||||||||||||||| ; 24/08/2026||31/12/2026||Burgers frites le vendredi sur place ou à emporter. Week-ends uniquement sur réservation (18 personnes). ||Soirs et week-end sauf résa (18 personnes minimum). ||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||19:00||21:00||||||||||||||||";;;;Menu adulte du jour (midi en semaine)||12,00||16,80||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.8949171, 0.06778811;Sarthe
Restaurant bar La Belle Etoile;Restaurant;Brasserie;;5 rue André Ripoche;;44330;;;LA CHAPELLE-HEULIN;44032;47.1768277;-1.340788;;;02 40 06 73 39;;https://restaurant-labelleetoile.eatbu.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1768277, -1.340788;Loire-Atlantique
Restaurant brasserie Le Bouchon Lionnais;Restaurant;Brasserie;;Centre Commercial Super U;ZA de la Grée;49220;;;GREZ-NEUVILLE;49155;47.6128596;-0.7058475;;;02 41 95 70 83;;;;;"Facebook||https://www.facebook.com/LeBouchonLionnais/?ref=page_internal ; Google+||https://g.co/kgs/pMZ4VHP";;;;;;oui;;;Plats à emporter,Service en terrasse,WiFi;130;2;50;0;0;;Anglais;oui;;40;oui;01/01/2026||31/12/2026||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||;Restaurant LE BOUCHON LIONNAIS||02 41 95 70 83||;;;Menu adulte du jour (midi en semaine)||12,90||15,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.6128596, -0.7058475;Maine-et-Loire
Restaurant Campanile;Hôtel restaurant;Cuisine traditionnelle;;Route de La Flèche;;72300;;;SABLE-SUR-SARTHE;72264;47.8300026;-0.3123011;"Route (nationale/départ.)||||0 ; Autoroute||A11||6 ; Aéroport/aérodrome||||14 ; Gare SNCF||||4";;02 43 92 44 92;;sablesursarthe.vion@campanile.fr;;;Facebook||https://www.facebook.com/Campanile-902435193215527;;;;;;non;;;Séminaire,Service en terrasse,WiFi;65;1;16;1;0;;Allemand,Anglais,Français;oui;20;80;non;01/01/2026||31/12/2026||||Fermé les midis, le vendredi, samedi, dimanche soir||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00||||||||||||||||||||||||;LOCHARD||02.43.92.44.92||sablesursarthe.vion@campanile.fr;;;Menu adulte du jour (midi en semaine)||18,00||25,00||;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.8300026, -0.3123011;Sarthe
Restaurant Crêperie Côté Cour;Restaurant;Crêperie;;9 rue du Colonel Boutin;;44430;;;LE LOROUX-BOTTEREAU;44084;47.2379171;-1.3478085;;;02 40 97 31 79;;cotecour44430@gmail.com;https://www.restaurant-cotecour.fr/;;;;;;;;;;;Service en terrasse;34;2;20;;;;Anglais,Français,Russe;oui;10;20;oui;||||||||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.2379171, -1.3478085;Loire-Atlantique
Restaurant Crêperie le Québreizh;Restaurant;Crêperie;;7 rue Cacault;Place de la Gare;44190;;;CLISSON;44043;47.0860004;-1.2853891;Gare SNCF||||0;;02 40 57 71 43;;lequebreizh@gmail.com;;;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1842343-d6985482-Reviews-Gare_Gam_elles-Clisson_Loire_Atlantique_Pays_de_la_Loire.html;;;Guide du Routard Pays de la Loire,Le petit futé;;;oui;;;Service en terrasse,WiFi;;2;;;;;Français;;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.0860004, -1.2853891;Loire-Atlantique
Restaurant de La Gare;Restaurant;Cuisine traditionnelle;11 Avenue de la Gare;;;72450;;;MONTFORT-LE-GESNOIS;72241;48.0482299;0.419952;;;02 43 76 97 78;;restaurantdelagare72@gmail.com;;;;;;;;;;;;;70;;;;;;;;;;oui;;AUBRY||02 43 76 97 78||;;;;;48.0482299, 0.419952;Sarthe
Restaurant de la Loire;Restaurant;Brasserie;;9 place de la Mairie;;49130;;;SAINTE-GEMMES-SUR-LOIRE;49278;47.42288;-0.55619;;0769056920;02 41 44 20 50;;contact@lerestaurantdelaloire.fr;http://restaurant-de-la-loire.com/;;;;;;;;oui;;;Service en terrasse;60;1;34;;;;Français;oui;;60;;01/01/2026||31/12/2026||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||||||||||||||||;;;;Menu adulte soir et week-end||15,90||||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.42288, -0.55619;Maine-et-Loire
RESTAURANT DU GOLF CLUB DE NANTES;Restaurant;Cuisine traditionnelle;;Route départementale 81;;44360;;;VIGNEUX-DE-BRETAGNE;44217;47.2909056;-1.6999949;Aéroport/aérodrome||Aéroport de Nantes||20;;02 40 63 25 82;;accueil@golfclubdenantes.com;https://www.restaurant.golfclubdenantes.com/;"https://youtu.be/ifgXmqmMlnM ; https://youtu.be/iR9Qr6EisN4";"Facebook||https://www.facebook.com/restogolfclubdenantes ; Instagram||https://www.instagram.com/explore/locations/1998984016860579/restaurant-golf-club-de-nantes/?hl=frle%20pigron%20blanc";;;;;;oui;Tenus en laisse;;Banquet,Bon cadeau,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;250;5;148;3;1;;Anglais,Français;oui;10;150;oui;||||||||||||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||;||||accueil@golfclubdenantes.com;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2909056, -1.6999949;Loire-Atlantique
Restaurant et bar à vins : la Touchetière;Restaurant;Restaurant gastronomique - cuisine raffinée;;41 rue du Docteur Roux;;49300;;;CHOLET;49099;47.0709;-0.89968;;;02 41 62 55 03;;contact@latouchetiere.fr;http://www.restaurant-cholet.com;;;;;;;;oui;;;Bon cadeau,Service en terrasse,WiFi;64;;;;;;Français;;;;;01/01/2026||31/12/2026||||||12:00||||17:30||||12:00||||17:30||||12:00||||17:30||||12:00||||17:30||||12:00||||17:30||||12:00||||17:30||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.0709, -0.89968;Maine-et-Loire
Restaurant guinguette La Chambellette;Restaurant;Guinguette;Maison de l'Octroi;Quai de la Mayenne;;49220;;;CHAMBELLAY;49064;47.6902929;-0.680195;;;;;guinguettechambellay@gmail.com;;;Facebook||https://www.facebook.com/p/La-Chambellette-La-Guinguette-de-Chambellay-61575449951864/;;;;;;;;;Service en terrasse;;;;;;;;;;;non;"01/06/2026||30/06/2026||||||||||||||||||||||11:30||21:00||||||11:30||21:00||||||11:30||21:00||||||11:30||21:00||||||11:30||21:00|||| ; 01/07/2026||31/08/2026||||||||||||||||||||||11:30||21:00||||||11:30||21:00||||||11:30||21:00||||||11:30||21:00||||||11:30||21:00||||";La Chambellette||||Guinguette Chambellay <guinguettechambellay@gmail.;;;Plats à la carte||1,00||7,50||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.6902929, -0.680195;Maine-et-Loire
Restaurant guinguette Les Nobis;Restaurant;Restauration rapide;;Camping Paradis les Nobis d'Anjou;;49260;;;MONTREUIL-BELLAY;49215;47.132;-0.15907;;;02 41 52 62 91;;contact@campinglesnobis.com;https://www.campinglesnobis.com;;"Facebook||https://www.facebook.com/camping.les.nobis.anjou/ ; Instagram||https://www.instagram.com/campinglesnobisdanjou/";;;Le petit futé;;;oui;;Qualité Tourisme;Chaise haute / Réhausseur,Climatisation,Plats à emporter,WiFi;55;1;40;;;;Anglais,Français;;;80;non;"01/04/2026||30/06/2026||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2026||31/08/2026||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/09/2026||30/09/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;Cartes bancaires,Tickets Restaurant;47.132, -0.15907;Maine-et-Loire
RESTAURANT INDIEN LE RAJASTHAN;Restaurant;Cuisine du Monde;;13 Bis Place juhel;;53100;;;MAYENNE;53147;48.3022224;-0.6193472;;;07 67 55 51 60;;;;;Facebook||https://www.facebook.com/Restaurant-Rajasthan-Mayenne-111128140511973;;;;;;;;;Plats à emporter,Service en terrasse;36;1;;;;;Français;;;;oui;;le Rajasthan||09 84 34 08 32||;;;;Cartes bancaires,Chèques bancaires et postaux;48.3022224, -0.6193472;Mayenne
Restaurant Jules&John;Restaurant;Restauration rapide;;83 boulevard des Demoiselles;;49400;;;SAUMUR;49328;47.277813;-0.062702;;;02 41 67 42 24;;Johnsaumur@crescendo-restauration.fr;https://www.jules-et-john.fr/;;"Facebook||https://www.facebook.com/JulesandJohnSaumur/ ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d17690603-Reviews-Jules_John-Saumur_Maine_et_Loire_Pays_de_la_Loire.html ; Instagram||https://www.instagram.com/jules_et_john_saumur/";;;;;;oui;Les animaux sont acceptés dans la salle du restaurant, mais pas devant la cuisine.;;Chaise haute / Réhausseur,Plats à emporter,WiFi;80;;20;;;;Français;;;;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.277813, -0.062702;Maine-et-Loire
Restaurant l'Ambroisie;Restaurant;Restaurant gastronomique - cuisine raffinée;;20 Place Charles de Gaulle;;44330;;;VALLET;44212;47.1608283;-1.2659532;;;02 40 36 30 05;;ambroisievallet@gmail.com;;;;;;;;;oui;;;Service en terrasse;24;1;8;;0;;Français;oui;15;22;oui;;Mme VIGNAUD||02 40 36 30 05||ambroisievallet@gmail.com;;;"Menu adulte du jour (midi en semaine)||||||formule du midi 2 plats : 12.50;formule entrée, poisson, viande, et dessert : 40 ; Menu adulte soir et week-end||||||menu du marché : entree, plat dessert (23 euros);menu plaisir : entréé, plat, dessert (32 euros);                     entrée, poissons, viande, dessert (40 euros) ; Menu enfant||||||plat, dessert et jus de fruit";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances Connect,Espèces,Tickets Restaurant;47.1608283, -1.2659532;Loire-Atlantique
Restaurant L'Annexe;Restaurant;Brasserie;;20 rue du Puits Neuf;;49400;;;SAUMUR;49328;47.259614;-0.075407;Itinéraire de randonnée||||;;02 41 67 26 27;;morodavid@orange.fr;https://www.annexe-saumur.fr;;"Facebook||https://fr-fr.facebook.com/LannexeSaumur/ ; Google+||https://maps.google.com/?cid=10594262521681653585 ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d12511930-Reviews-L_Annexe-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;oui;Propre et calme;Vignobles et découvertes;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,WiFi;45;2;45;;;;Anglais,Français;oui;;50;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Plats à la carte||7,50|||| ; Menu enfant||12,50||12,50|| ; Menu adulte du jour (midi en semaine)||14,90||18,00||";Cartes bancaires,Tickets Restaurant;47.259614, -0.075407;Maine-et-Loire
Restaurant L'Arena Bistrot Grill;Restaurant;Grill - Rôtisserie;;Boulevard Dr Lionet;Doué-La-Fontaine;49700;;;DOUE-EN-ANJOU;49125;47.191167;-0.289586;;;02 41 40 21 96;;contact@restaurant-arena.fr;https://www.restaurant-arena.fr;;Facebook||https://www.facebook.com/BistrotGrillArena/;;;;;;;;;Plats à emporter;;1;150;;;;Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.191167, -0.289586;Maine-et-Loire
Restaurant L'Atelier de la Pizza;Restaurant;Pizzeria;;50, rue Victor Hugo;Baugé;49150;;;BAUGE-EN-ANJOU;49018;47.5416775;-0.1042199;;;02 41 89 21 99;;anaisrousselet@laposte.net;http://www.lapizzaemporter.fr;;Facebook||https://www.facebook.com/La-pizza-%C3%A0-emporter-de-Baug%C3%A9-113054463892727;;;;;;non;;;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,WiFi;10;1;15;;;;Anglais,Français;non;;10;oui;01/01/2025||31/12/2026||||||11:45||14:00||18:30||21:30||||||||||||||||||11:45||14:00||18:30||21:30||11:45||14:00||18:30||21:30||18:30||21:30||||||18:30||21:30||||;||02 41 89 21 99||;;;Plats à la carte||4,50||||;Cartes bancaires,Espèces,Tickets Restaurant;47.5416775, -0.1042199;Maine-et-Loire
Restaurant L'Escale;Restaurant;Brasserie;;Place du Foirail;CHEMILLE;49120;;;CHEMILLE-EN-ANJOU;49092;47.2081959;-0.722663;"Route (nationale/départ.)||||0 ; Autoroute||||5 ; Gare SNCF||||2 ; Gare routière||||2";;02 41 30 63 79;;reservation.lescale@gmail.com;;;"Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g644124-d7725845-Reviews-L_Escale-Chemille_Maine_et_Loire_Pays_de_la_Loire.html ; Facebook||https://www.facebook.com/Lescale-178859362707023/";;;Guide des Relais Routiers;;;;;;;200;1;30;;;;Français;oui;30;200;oui;01/01/2026||31/12/2026||||||07:30||14:30||||||07:30||14:30||||||07:30||14:30||||||07:30||14:30||||||07:30||14:30||||||||||||||||||||;||02 41 30 63 79||reservation.lescale@gmail.com;;;;;47.2081959, -0.722663;Maine-et-Loire
Restaurant l'Escale;Restaurant;Cuisine traditionnelle;;66, avenue des Déportés;;72340;;;LA CHARTRE-SUR-LE-LOIR;72068;47.7385978;0.5788843;;;02.43.44.40.03;;lescale72340@gmail.com;;;Facebook||https://www.facebook.com/profile.php?id=100057303675885;;;Guide du Routard Pays de la Loire;;;non;;;Banquet,Plats à emporter,Service en terrasse,Traiteur,WiFi;80;2;60;1;0;;Anglais,Français;oui;20;60;oui;01/01/2026||31/12/2026||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||||||||||||||||;FERARD||02.43.44.40.03||;;;"Menu adulte du jour (midi en semaine)||14,50||17,00|| ; Plats à la carte||11,50|||| ; Menu enfant||10,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.7385978, 0.5788843;Sarthe
RESTAURANT LA BOURRINE;Hôtel restaurant;Cuisine traditionnelle;;5 chemin de la Culée;Bourgneuf-en-Retz;44580;;;VILLENEUVE-EN-RETZ;44021;47.0504924;-1.9659571;"Aéroport/aérodrome||Nantes Atlantique via D758||40 ; Autoroute||A11 péage vers Paris ||55 ; Autoroute||A83 péage vers La Roche sur Yon||40 ; Gare SNCF||Ligne 10 Ter train SNCF Nantes Pornic ||1,1 ; Gare routière||Ligne 13 Ter Bus SNCF Nantes Noirmoutier||2,2 ; Bord de mer||Port du Collet||3 ; Bord de mer||Pornic||14 ; Bord de mer||La Bernerie en Retz||11 ; Route (nationale/départ.)||D13 Route littoral||0,1";;02 40 21 40 69;02 40 21 97 28;la.bourrine@wanadoo.fr;www.restaurant-labourrine.com;;;;;Guide du Routard Pays de la Loire;;;;;Logis;Climatisation,Service en terrasse;;;;;;;Anglais,Français;;;;oui;;||02 40 21 40 69||la.bourrine@wanadoo.fr;non;Logis||||||01 45 84 83 84||;;Cartes bancaires;47.0504924, -1.9659571;Loire-Atlantique
RESTAURANT LA CABANE;Restaurant;Cuisine traditionnelle;;117 quai de bliesransbach;;44240;;;SUCE-SUR-ERDRE;44201;47.3392233;-1.5266963;;;02 40 77 98 64;;lacabanereservation@gmail.com;https://www.lacabane-sucesurerdre.com/;;"Tripadvisor||http://www.tripadvisor.fr/Restaurants-g1918934-Suce_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html ; Instagram||https://www.instagram.com/la_cabane_44/ ; Facebook||https://www.facebook.com/lacabanesucesurerdre/";http://www.tripadvisor.fr/Restaurants-g1918934-Suce_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html;;;;;oui;;;Plats à emporter,Service en terrasse,WiFi;70;1;70;;;;Anglais,Français;oui;;70;oui;;La cabane du pecheur||02 40 77 98 64||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Tickets Restaurant;47.3392233, -1.5266963;Loire-Atlantique
